"normal_MS","progressive_MS","lesion1","lesion2","normal1","lesion3","normal2","..lesion4","normal3","normal4"
1,2,1,17,18,0,4,4,5,12
95,150,87,18,54,25,122,108,138,29
38,39,44,28,22,34,101,55,83,69
319,355,270,119,221,139,270,269,354,176
56,162,141,79,13,23,80,66,134,38
2,28,2,23,19,9,10,14,8,48
2349,3169,2317,1812,3285,1968,2741,2356,2797,3346
210,288,217,61,83,105,357,275,349,105
55,59,31,11,55,37,65,67,60,28
168,134,71,15,45,66,203,110,198,83
27,17,27,13,9,17,38,25,34,18
11,21,11,2,5,5,40,20,35,7
151,290,246,122,197,159,190,213,232,128
140,143,115,49,44,25,167,156,163,96
211,239,178,93,237,172,235,268,298,289
13,9,12,0,0,0,4,6,8,3
164,151,134,55,109,87,221,182,194,124
183,719,553,200,78,44,501,535,654,101
128,177,165,95,100,95,165,165,249,110
1462,2446,1480,895,1252,1010,1576,1413,1810,1339
329,463,411,204,238,203,430,326,559,309
508,2150,1346,353,240,150,1034,859,1449,325
525,678,698,149,234,173,798,613,927,288
222,405,146,57,203,182,312,245,297,125
200,84,122,62,112,92,321,330,268,169
6,86,62,25,5,5,40,14,78,10
104,107,55,26,70,56,130,59,101,52
21,24,34,8,2,1,7,11,9,4
70,112,100,107,104,91,66,95,98,112
600,328,398,113,241,133,941,658,635,365
222,212,268,149,183,138,249,203,404,327
88,317,343,84,29,28,130,143,225,76
13,64,74,18,8,1,33,28,86,10
32,158,120,29,13,0,28,52,101,42
12,14,15,13,4,6,18,6,20,5
780,955,743,328,589,451,894,770,981,770
135,133,127,25,38,22,186,150,208,58
136,388,172,84,61,31,244,210,178,113
59,40,35,16,13,36,92,49,130,56
23,34,38,9,2,4,36,41,58,18
81,67,81,4,35,23,87,47,122,29
35,143,55,22,29,9,75,67,89,23
0,13,10,1,0,0,27,9,13,2
129,554,638,116,29,13,680,593,966,65
4,2,10,8,0,2,7,5,9,14
18,21,18,10,4,2,31,16,24,22
72,147,109,43,55,18,159,112,127,52
336,255,266,173,260,141,315,315,366,359
60,58,85,14,32,7,107,79,122,42
204,272,123,62,174,96,367,281,223,126
3,29,18,28,2,7,21,24,27,26
55,118,54,19,57,19,182,124,184,50
149,49,76,28,44,59,234,167,178,112
58,96,76,10,27,15,49,65,63,13
153,251,246,110,45,100,283,199,299,145
228,171,224,44,30,28,283,238,377,116
0,15,5,5,2,2,11,3,13,7
102,125,121,30,36,41,104,76,169,60
0,18,12,3,4,4,6,9,9,7
63,267,196,126,45,30,157,134,145,127
165,307,153,86,161,97,179,157,179,166
245,1030,717,357,167,80,332,335,658,248
63,49,56,36,21,40,87,75,77,29
15,34,24,0,8,5,29,28,47,8
488,447,216,131,310,228,629,571,556,331
419,156,251,110,51,56,190,122,436,395
216,401,333,115,131,152,315,313,344,197
341,773,806,311,144,134,445,437,672,261
5,13,12,10,3,3,10,6,10,1
60,135,171,31,12,27,146,144,179,24
79,53,81,23,47,38,95,83,114,50
44,449,415,58,12,5,108,157,170,27
48,55,58,14,11,33,64,84,63,38
68,106,43,14,67,48,81,55,59,71
1,45,11,13,14,11,6,12,11,6
160,191,140,64,96,87,227,184,229,101
75,81,112,19,79,53,150,103,156,66
5,27,13,8,0,2,28,15,15,10
159,233,226,93,48,39,215,241,257,117
789,1072,837,372,479,315,745,771,855,517
109,143,225,104,26,31,216,220,242,59
16,113,177,60,4,1,69,87,88,32
0,19,10,7,3,1,0,8,4,4
1324,1349,839,550,1290,977,1258,1199,1249,1039
494,797,570,344,668,432,543,423,713,455
20,53,10,0,5,14,69,28,37,1
34,28,43,16,3,2,10,7,24,15
2241,2023,1697,773,1663,1061,2684,2229,2563,2215
94,360,122,237,104,184,146,119,127,201
135,147,176,110,109,52,214,247,196,130
192,835,649,728,270,394,259,249,517,591
579,121,218,161,848,500,670,560,855,1088
465,702,442,263,213,159,638,619,835,458
0,17,1,0,2,0,20,23,20,0
115,155,131,63,60,63,376,216,195,132
22,18,12,32,28,11,65,54,41,67
290,125,174,27,51,49,221,170,263,81
125,167,124,57,125,100,148,147,187,111
109,148,60,48,50,49,135,119,147,79
17,51,17,16,18,1,24,18,19,3
162,302,211,77,127,91,304,229,294,151
103,129,126,32,54,30,135,76,136,60
267,813,402,113,186,93,558,449,556,150
191,329,339,101,49,25,242,204,345,93
258,220,259,124,172,100,380,311,352,244
306,650,562,117,178,77,474,478,654,197
174,238,146,183,196,286,214,205,235,266
1684,2000,1346,798,1720,1180,1509,1352,1643,1570
294,270,227,80,130,123,315,275,349,182
220,96,104,31,32,33,291,241,214,76
12,17,6,1,15,0,9,13,15,3
103,65,81,27,31,16,145,63,119,19
1002,1268,958,545,793,457,1130,953,1141,1016
18,10,11,6,15,4,20,11,28,21
9,45,26,35,27,5,39,33,29,31
38,25,40,18,28,28,31,30,40,60
